Top queries,Clicks,Impressions,CTR,Position
"in a particular episode originally aired before 2015 of a specific season 
of a television series, the following events unfold: - the episode features 
a couple at some point, and the wife dies during the episode. - the 
surviving person of the above-mentioned couple confesses to ending an 
affair with another person in the same episode, and the person they ended 
the affair with also dies in the same episode. - the episode is exactly 
named after the title of a specific book. - in this episode, a specific 
character played by a particular person who also featured in a music video 
in 2005, appeared in more than four episodes of this particular season the 
episode was set in, and saves another character in the episode by making 
them drink a liquid. - the same character who is saved by a character in 
the episode mentioned above stabs another person with a knife in the same 
episode. identify the title name of this episode.",0,153,0%,3.62
sulma,0,139,0%,6.22
"senior artists fund inaugural recipient novel about family tensions 
academic championed",0,135,0%,8.11
"which of the following would be the strongest argument to persuade you to 
buy a new video game: choose one option a the video game is expensive. b 
the video game is almost as fun as the ones you have. c the video game has 
ok graphics. d the video game won an award for game of the year.",0,134,0%,8.87
"what's a false statement about online time?a. blue light from devices can 
make it hard to sleepb. it's a good way to connect with friends who are far 
awayc. checking social media a lot is connected to more happinessd. you can 
find digital resources that you don't have locally",0,134,0%,10.51
"anna was asked to show proof that the amendments to the us constitution 
have improved our country’s way of life. anna has been asked to a. solve a 
problem c. give examples b. apply new information d. none of these",0,133,0%,11.5
"which of the following is a strength in how men communicate? a. they are 
often direct. b. they enjoy a well-told story. c. they speak to large 
audiences. d. they share personal experiences.",0,130,0%,11.78
cheapcomforts,0,126,0%,6.9
"which quote from the story best supports the idea that buddy feels afraid 
when he sees the audience?",0,121,0%,9.61
"""met my husband"" in the lobby of ""microsoft""",0,120,0%,7.92
"""met my husband"" in the lobby of company july 2022 beauty queen",0,120,0%,10.26
"simple color palettes are often not used in sympathy work because they are 
too plain for funerals. true false",0,119,0%,4.25
"spanish artist teacher 600 students social media rebellion sculpture 
variations instagram tiktok",0,113,0%,9.37
"i’m not alive, but every living thing needs me. i keep ecosystems steady, 
like a balance on a beam. but if one system changes—too much, too fast— i 
weaken, and the trouble can quickly spread past. name what i am: the 
balance that helps ecosystems last. who am i?",0,111,0%,5.34
"true or false: x campaigns don’t allow businesses to align advertising 
specifically to company objectives. select an answer from the options 
below. a true b false",0,103,0%,10.48
"which of the following best explains a long-term political change resulting 
from the new deal? political alignments shifted as african americans came 
to support the democratic party. a the republican party split into factions 
as many reformers broke away to form a new party. b both major political 
parties came to embrace radical and populist ideas of reform. c both major 
political parties came to support an isolationist foreign policy and sought 
to keep the united states out of war.",0,99,0%,10.81
"leadership coaches ask [ blank ] and let people find their own solutions to 
problems during effective safety conversations. only questions that people 
can answer with ""yes"" or ""no"" open-ended and clarifying questions questions 
that seek to identify blame rhetorical questions that have no answers",0,97,0%,5
"""julian castro"" comedian award police",0,96,0%,5.98
"""for instance"" indicates that an example is about to come. my older brother 
is the funniest person i know. for instance, choose one option a he’s often 
crying and unhappy. b he recently became afraid of his own shadow. c he can 
make our mother laugh just by rolling his eyes. d i often feel myself 
longing for sleep when he speaks.",0,96,0%,9.96
"move the correct answer to each box in the table. members aimed to expand 
suffrage to more americans religious movement that caused people to want to 
improve society refused to obey laws seen as unfair led enslaved people to 
freedom through the underground railroad henry david thoreau women’s rights 
movement hariett tubman second great awakening",0,93,0%,4.1
"""for against"" label founded by attorney",0,91,0%,5.23
"select the quotation from the story that most strongly suggests that the 
theme is stealing someone else's ideas will only hurt you in the end.",0,90,0%,8.6
"2024 country hearing symptom trend chart witness left black dress heads of 
state necktie color",0,89,0%,3.13
"which of these is an opinion about taxes? a taxes pay for things like 
bridges and parks b the progressive tax system is unfair to wealthy people 
c federal income tax is taken right out of most people's paychecks d 
without taxes, there would be no u.s. military",0,89,0%,9.01
"""julian castro"" comedian police society award",0,86,0%,8.06
best newt breeds for bodybuilders,0,84,0%,9.52
"which two persuasive appeals are used in this ad? a boy wearing glasses 
smiles. the text says, ""we care about our community. every year, we give 
away hundreds of new glasses. help us help children in need.""",0,82,0%,3.6
"which of the following describes japan’s imperial government in the 700s? 
(select all that apply) a governed by local leaders b strongly centralized 
c controlled by foreigners d supported by a large bureaucracy",0,82,0%,4.68
"""what is rule? if being frank, purely as a human, it's a colossal 
opportunity""",0,79,0%,6.62
"which of these investors might want to choose a human over a robo-advisor? 
a. marcus is just starting to invest a little from each of his paychecks, 
so he doesn't have a very large balance but he's ok with his investments 
having average returns b. hera wants to invest her money and not have to 
think about making a lot of decisions week to week or month to month c. 
deron is unsure where he wants to invest and nervous about losing money, so 
he'd like to learn more about his choices to build his confidence d. 
kamilah is a big fan of efficiency and would prefer her investment process 
to be automatic to save her time and wants the lowest fees she can get",0,75,0%,9.44
tim ferguson plumbing tiktok followers count,0,73,0%,6.01
"what changes did the invention of the radio bring to americans? it gave 
americans a way to listen to sporting events instead of attending them. it 
gave americans new ways to communicate with friends and family. it made 
americans more isolated because they listened to the radio alone. it 
provided americans with a way to hear the news as it happened.",0,73,0%,11.85
"eric robinson linkedin pverify director of product management webinar 
speaker",0,72,0%,9.19
"what does the hyperbole in this text suggest? our supervisor is very 
stressed right now; she has a mountain of paperwork on her desk that she 
needs to finish by tomorrow.",0,72,0%,11.07
"how does ms. chen act as a moderator in this part of the transcript? she 
reminds the group of the discussion rules and asks them to use a respectful 
tone. she helps the group handle a conflict between two or more of the 
participants. she provides several topics as possible options for the group 
to discuss. she asks the participants to clarify their viewpoints and 
introduce supporting facts.",0,72,0%,12.57
"in a particular episode originally aired before 2015 of a specific season 
of a television series, the following events unfold: - the episode features 
a couple at some point, and the wife dies during the episode. - the 
surviving person of the above-mentioned couple confesses to ending an 
affair with another person in the same episode, and the person they ended 
the affair with also dies in the same episode. - the episode is exactly 
named after the title of a specific book. - in this episode, a specific 
character played by a particular person who also featured in a music video 
in 2005, appeared in more than four episodes of this particular season the 
episode was set in, and saves another character in the episode by making 
them drink a liquid. - the same character who is saved by a character in 
the episode mentioned above stabs another person with a knife in the same 
episode.",0,71,0%,3.61
"you’ve been interested in investing in company c for quite some time. 
you’ve done your research and you’re ready to invest. coincidentally, 
company c just announced a stock split. why might this be good news for you?",0,71,0%,12.56
"jake has decided to give a bonus to the employee who has worked the 
greatest total number of hours over the past six months. four candidates 
are currently up for consideration. the following graph shows how many 
hours each one has worked over the past six months. a graph titled hours 
worked has name on the x-axis and hours on the y-axis. for october: vince, 
130; claire, 129; joey, 134; katharine, 122. for november: vince, 135; 
claire, 130; joey, 121; katherine, 131. for december: vince, 131; claire, 
125; joey, 119; katherine, 134. for january: vince, 133; claire, 126; joey, 
127; katharine, 133. for february: vince, 134; claire, 121; joey, 132; 
katharine, 115. for march: vince, 118; claire, 133; joey, 134; katharine, 
140. to which employee will jake give the bonus? a. vince b. claire c. joey 
d. katharine",0,70,0%,8.2
"i’m not alive, but every living thing needs me. i keep ecosystems steady, 
like a balance on a beam. but if one system changes—too much, too fast— i 
weaken, and the trouble can quickly spread past. name what i am: the 
balance that helps ecosystems last. who am i? *",0,68,0%,5.85
"what is most likely a central idea of barbara jordan’s speech? a. democracy 
was a terrible idea. b. the public needs to set an example for elected 
officials, not the other way around. c. it is up to the american people to 
decide what they collectively want, and work together toward those goals. 
d. the country is too divided to work together, so we should re-start the 
civil war.",0,68,0%,9.04
"true or false: x is seen as a great platform for reputation management. 
select an answer from the options below. a true b false",0,68,0%,9.94
poses as a newcomer interrogation confession episode foreign series,0,67,0%,8.4
"danielle is a natural leader. while she doesn’t consider herself to be 
creative, she studied general studies in college and would like to work in 
an office and lead a team. based on these choices, which career path may be 
a good fit for danielle?",0,67,0%,10.21
"""if los angeles r wins the dallas vs los angeles r professional football 
game originally scheduled for aug 9, 2025, then the market resolves to yes"" 
before:2025-07-31",0,66,0%,4.61
"the word deprive comes, in part, from the latin root de-, which means 
“away” or “against,” and the latin privus, which means “individual” or 
“single.” with this in mind, what do you think the word deprive means? 
write your best definition here and explain how you arrived at its meaning.",0,66,0%,5.88
sam cobbs,0,66,0%,5.98
"hyperlocal and personal advertising, fueled by the internet of things and 
machine learning, helps promote your products and services to your 
___________ audience more precisely: select an answer from the options 
below. a broad b future c indirect d target",0,66,0%,6.65
"what advantage do website performance checkers offer for testing site 
response times? answer they can physically repair websites. they test from 
the perspective of customers in different countries. they increase website 
traffic automatically. they design websites.",0,66,0%,10.03
"which of the following is not a good tip for creating clear presentations? 
a. simple is almost always better. b. audiences generally do better 
learning a little bit at a time. c. tie new information to old information. 
d. present as much information as possible for efficiency.",0,66,0%,10.36
"true or false: social media marketers aren’t expected to have skills in 
design or video production. select an answer from the options below. a true 
b false",0,65,0%,9.69
"""if los angeles wins the pro hockey western conference finals, then the 
market resolves to yes"" before:2025-03-30",0,64,0%,5.83
"the field of engineering has a strong heritage, beginning with our 
ancestors who laid the foundation in an effort to improve their way of 
_______. (4 letters)",0,63,0%,9.27
"""if kansas city wins the kansas city vs arizona professional football game 
originally scheduled for aug 9, 2025, then the market resolves to yes"" 
before:2025-08-03",0,60,0%,6.42
"which statement is an example of ad hominem? researchers have found that 
parents are allowing more screen time than ever before. do you really want 
to associate with supporters of screen time? plenty of people are in 
support of screen time for students. if we allow unlimited screen time, 
what next? students skipping school altogether?",0,59,0%,6.59
"an instructor frequently tells participants anecdotes while using a course 
presentation that the instructor created. these actions are examples of 
which concept? smart goals relevancy creep positive feedback",0,59,0%,8.39
"anna was asked to show proof that the amendments to the us constitution 
have improved our country’s way of life. anna has been asked to a. solve a 
problem c. give examples b. apply new information d. none of these please 
select the best answer from the choices provided a b c d",0,59,0%,10.51
rachel pritzker,0,58,0%,4.09
"which quote from the story best supports the idea that leah is afraid that 
she will make a wrong choice?",0,58,0%,7.76
"when thomas became a father, his attitude about safety changed almost 
immediately. this best shows the impact of what concept? select one answer 
a role-playing. b foot-in-the-door. c obedience. d door-in-the-face.",0,58,0%,8.07
"there were a lot of people, but not many supplies in california in the late 
1840s. this had a strange effect on the economy because there was a high 
demand for goods, but not very many goods to sell. this meant that store 
owners could set their prices really high and people would have to pay it. 
the miners didn’t have a choice. as a result, people paid outrageous 
amounts of money for food and supplies. in 1849, some of the ________ 
prices included $20 for mining boots and $6 for a dozen eggs! for that time 
period, these prices were very expensive. one story told again and again 
was that someone had bought a cup of water for $100. with these prices, 
more and more merchants got rich and more miners struggled to survive. 
choose the word that best fills in the blank. choose one option a 
exaggerated b accumulated c extracted d liberated",0,58,0%,8.64
"true or false: every story has exactly one conflict to resolve. choose one 
option a true b false",0,58,0%,10.53
"isaiah listens to his teammates, shares his own ideas, and helps everyone 
agree on a plan. this is an example of what essential work ethic trait for 
school and life success? a. integrity b. flexibility c. cooperation d. 
responsibility",0,57,0%,5.56
"we understand that to request the fulfillment of human rights is an act of 
revolution, that to question the government about bringing our children 
back alive was a revolutionary act. we are fighting for freedom, we are 
fighting to live in liberty and fighting for these things is always 
revolutionary. —mothers of the plaza de mayo what is the best summary of 
this quote? we are fighting a revolution with our weapons, our questions, 
and our freedom. to fight for liberation, we should use every technique, 
including warfare. questioning the government can be as much of a 
revolutionary act as armed rebellion. to transform a system, our children 
must be brought back alive.",0,57,0%,10.42
"""if seattle wins the san francisco vs seattle professional football game 
originally scheduled for sep 7, 2025, then the market resolves to yes"" 
before:2025-07-26",0,56,0%,5.14
"""if chicago wins the minnesota vs chicago professional football game 
originally scheduled for sep 8, 2025, then the market resolves to yes"" 
before:2025-07-01",0,56,0%,5.3
"which two themes are present in the story? a the bond between siblings gets 
stronger when tested with a challenge. b determined people are not 
discouraged by obstacles in achieving a goal. c caring and compassionate 
people always put others above themselves. d young ponies are often too 
challenging to be trained for horse-riding. e problems in life may 
overwhelm some people to stop trying harder.",0,56,0%,6.39
"qusai was incredulous when i told him that i could fly. he choose one 
option a didn't believe me. b felt strong. c was worried. d was bored.",0,56,0%,7.98
"the political candidates keep talking to the citizens about the possibility 
of a recession. what would most likely happen if a country experiences a 
recession? a. feeling confident in the economy, people will begin to spend 
money more freely. b. jobs will be more plentiful, and companies will be 
doing a lot of hiring. c. families will start to purchase larger and more 
expensive homes. d. businesses will suffer from decreased sales and 
profits, eventually leading to closure.",0,56,0%,9
"what is the goal of your conclusion? to leave the audience thinking about 
all of the people who live and work in our community to leave the audience 
thinking about why having a day to celebrate local heroes would be a good 
idea to present all of the evidence one last time before finishing my 
presentation to present new forms of media that might make the audience 
interested in celebrating heroes in the community",0,56,0%,9.43
"""if minnesota wins the houston vs minnesota professional football game 
originally scheduled for aug 9, 2025, then the market resolves to yes"" 
before:2025-08-01",0,55,0%,6.05
"january she'd rere, retreating figures, backs to camera",0,55,0%,6.82
"why do you think that religious diversity and religious bias exist 
alongside each other in the united states? share your opinion by checking 
any of the boxes that apply. the more groups there are, the more tension 
grows. members of the dominant religious groups feel more threatened. 
members of minority religious groups feel more threatened. more diversity 
brings change, which can also bring conflict.",0,55,0%,10.24
"research tells us that focusing only on logic and facts has the potential 
to: (select all that apply) a. cause defensiveness in others b. make people 
like you better c. cause others to double-down on their belief d. entertain",0,53,0%,7.81
"which of the following is not a privacy issue that is related to using a 
social networking site? answer you need to control how far the information 
that you post to the site is distributed. you need to ensure that private 
information is physically shredded prior to disposal. you need to know how 
the company processes, stores, and transfers or sells any data it collects 
about you. you can never take back information that is publicly posted, as 
others may have downloaded or duplicated it.",0,53,0%,11.91
"an example of globalization would be a. trade barriers. c. a multi-national 
company having offices in another country. b. a local company doing 
business in the next county. d. an oligopoly.",0,53,0%,12.08
"""if los angeles r wins the los angeles r vs tennessee professional football 
game originally scheduled for sep 14, 2025, then the market resolves to 
yes"" before:2025-08-05",0,52,0%,4.06
deborah alvarez,0,52,0%,6.35
human gathering fake,0,51,0%,25.67
strive hi,0,50,0%,8.76
"""for against"" 2011 album label founded by lawyer",0,50,0%,8.86
"which of the following best illustrates the principle of contact theory? a. 
avoiding disagreements by only spending time with people who think like 
you. b. hosting a debate where people argue opposing viewpoints. c. 
planning a community service project with people from different 
backgrounds. d. sharing your opinions online and inviting others to 
challenge them.",0,49,0%,7.41
"""so photography"" linkedin",0,49,0%,10.1
"read the text. as residents of riverside, we should all think about where 
we shop and what happens to our money after it hits the cash register. when 
we shop and eat at local businesses, we invest positively in our own 
community. studies show that almost seventy percent of money spent at a 
local business stays local, compared to about thirty percent spent at a 
national chain. local businesses will more likely use community businesses 
themselves: banks, services, local crafts, and farms. it is a kind of 
domino effect. in addition, buying items made locally means we are getting 
something unique. eating at a locally owned restaurant means our neighbor 
planned the menu. you can't discount that one-of-a-kind feeling! which 
author's purpose is suggested by the text?",0,48,0%,7.94
"danielle is a natural leader. while she doesn’t consider herself to be 
creative, she studied general studies in college and would like to work in 
an office and lead a team. based on these choices, which career path may be 
a good fit for danielle? select a response to continue.",0,48,0%,8.81
"why did immigrants choose to live in ethnic enclaves within american 
cities? choose one option a so they could establish their own government 
and avoid taxation b so they could return to the country they came from as 
soon as possible c so they could speak their native language and maintain 
their unique culture d so they could build warehouses to store the goods 
they had built in factories",0,48,0%,9.88
"which of the following best describes the attitude toward girls at the time 
katherine johnson was born? choose one option a girls weren’t valued for 
their intellectual abilities. b girls were considered equal to boys in 
every way. c girls were highly valued for their contributions to math and 
science. d girls were given more opportunities than boys.",0,48,0%,9.9
"a behavioral health agency launches an online marketing campaign and 
encourages clients to leave reviews on public platforms. some clients feel 
uncomfortable but worry that not participating may affect their treatment. 
which of the following best describes the ethical concern in this situation?",0,47,0%,4.28
"""if los angeles c wins the kansas city vs los angeles c professional 
football game originally scheduled for sep 5, 2025, then the market 
resolves to yes"" before:2025-05-31",0,47,0%,5.53
"""julian castro"" comedian police award",0,46,0%,6.72
"professor retired same day democrat second term 2013 university newsletter 
food chain ceo visit campus speech",0,45,0%,2.51
"in a certain online forum dedicated to environmental activism, members only 
share and discuss views that support strong environmental protection laws, 
rarely encountering opposing viewpoints. this forum is an example of what? 
select an answer from the options below. a digital literacy b echo chamber 
c cyberbullying d misinformation",0,45,0%,4.53
"carmen was a(n) ___ to the car accident; she saw the whole thing happen 
while she was waiting for the bus.",0,45,0%,8.42
"megan drew two angles. the measure of the smaller angle is 13° less than 
the measure of the bigger angle. the measure of the smaller angle is 79°. 
let b represent the measure of the bigger angle. which equation models the 
problem? solve this equation to find the measure of the bigger angle. °",0,45,0%,9.2
"which of the following would be an appropriate topic for disclosure in the 
workplace? a. religious background b. political preferences c. ideas about 
controversial issues d. none of the above",0,45,0%,9.31
"true or false: tiktok has one of the youngest demographic bases of any 
social media platform. select an answer from the options below. a true b 
false",0,45,0%,9.91
"select true or false: in the process of inspiring confidence in a team, a 
leader may need to manage the team’s perceptions of who the leader is, to 
the point of hiding certain information. perception management may be a 
legitimate goal.",0,45,0%,12.78
"select the best evaluation of this source: a documentary produced by a 
major news network on climate change. a highly credible because it is 
produced by a reputable organization and likely fact-checked. b not 
credible because documentaries are opinion-based. c somewhat credible, but 
the network’s reputation and evidence presented need further investigation. 
d irrelevant because climate change isn’t a serious topic.",0,44,0%,5.27
"the cost of president kennedy's space program… is too great and cannot be 
beared evenly by the american people. has increased threefold because of 
its importance in the president's eyes and the jobs it creates. has 
actually decreased in american taxes because of the jobs it creates. is not 
very expensive when one considers the guaranteed benefits it will bring 
america in the very near future.",0,44,0%,7.61
"""met my husband"" in the lobby of microsoft",0,44,0%,7.7
"the blocks before you build something and after you build something will 
have the same total mass false true",0,44,0%,8.86
"pss home care queens press releases partnerships community programs 
sponsorships",0,44,0%,9.75
"every tenth person leaving the library is asked if they support an increase 
in taxes for the city’s library budget. explain why the survey method is 
biased and describe how to change the survey so it provides a valid 
response. enter the answer.",0,44,0%,10.61
the bulwark,0,43,0%,4.81
larry stupski death date,0,43,0%,4.91
richard tate california wellness,0,43,0%,7.07
"true or false: posting new videos consistently isn’t important. select an 
answer from the options below. a true b false",0,43,0%,10.63
"true or false: you need to pay close attention to whom you want consuming 
your youtube ads; targeting is important. select an answer from the options 
below. a true b false",0,43,0%,10.91
"lee chen is the accountant for a local nonprofit organization. he has been 
tasked with managing the costs of the payroll so that staffing levels may 
remain the same even if funding levels change. he considers outsourcing the 
payroll to a payroll",0,42,0%,4.19
"upstream can't eat meat, downstream can't drink soup - online promotion 
title",0,42,0%,4.38
"4. which of the following describes japan’s imperial government in the 
700s? (select all that apply) a governed by local leaders b strongly 
centralized c controlled by foreigners d supported by a large bureaucracy",0,42,0%,5.17
"""for against"" ""label"" founded by attorney",0,42,0%,5.5
"jake has decided to give a bonus to the employee who has worked the 
greatest total number of hours over the past six months. four candidates 
are currently up for consideration. the following graph shows how many 
hours each one has worked over the past six months. to which employee will 
jake give the bonus? a. vince b. claire c. joey d. katharine",0,42,0%,8.12
evolutive systems nextlane connections leadership linkedin press releases,0,42,0%,9.86
"which quote from the story further supports the idea that the community is 
very important to newt?",0,42,0%,11.26
heather taylor interview 2020 game life skills version,0,41,0%,7.98
julián castro current job,0,40,0%,1
fake rules,0,40,0%,3.62
"which of the following communication behaviors is most aligned with 
motivational interviewing? group of answer choices debating the merits of 
each person’s opinion listening closely and reflecting on what the other 
person says giving encouragement to improve others' behaviors providing a 
list of scientifically proven counterarguments",0,40,0%,4.97
"ming is struggling to promote a positive dynamic in his team. what could he 
do to overcome negativity in his team's dynamic? select the 2 answer 
options that apply. identify a short-term challenge for the team to 
overcome together require team members to write a report each day detailing 
the tasks they achieved allow team members to choose their roles based on 
what they enjoy doing or are passionate about remove team members from 
meetings if they don’t contribute to the conversation",0,40,0%,5.78
"""for against"" 2011 album label founded by attorney",0,40,0%,8.07
"i don’t strictly follow party lines and prefer to evaluate issues and 
candidates individually. has pierre omidyar been involved in any ai-related 
initiatives or projects?",0,40,0%,8.3
april anthony gray i know you'll still be here with me,0,40,0%,8.68
"bran has been late to two meetings this week, and catherine is feeling more 
and more frustrated that the team lead, jon, hasn't done anything about it. 
each time bran is late, the meeting also ends up going late to cover the 
agenda items, making catherine rush to her next meeting immediately 
afterward. she reaches out to jon to talk about her concerns. jon allows 
catherine to explain her feelings, and when she has finished, he asks, ""it 
sounds to me like your frustration is more about the meeting going late 
than bran's tardiness. i'll speak to bran because that is an issue, but 
moving forward, regardless of who arrives on time, i will excuse the 
meeting at the scheduled time to respect everyone's other time obligations. 
how does that sound?"" what communication strategy for productive conflict 
is jon using? select the best answer. select the best option. active 
listening locating the source of conflict using first-person language when 
expressing perspectives establishing common ground",0,39,0%,7.41
"a community organized around radical individual freedom where people may 
opt out of social services; while some thrive, many are left without 
support and inequality is extreme. utopian dystopian both neither",0,39,0%,8.21
"review the text. as residents of riverside, we should all think about where 
we shop and what happens to our money after it hits the cash register. when 
we shop and eat at local businesses, we invest positively in our own 
community. studies show that almost seventy percent of money spent at a 
local business stays local, compared to about thirty percent spent at a 
national chain. local businesses will more likely use community businesses 
themselves: banks, services, local crafts, and farms. it is a kind of 
domino effect. in addition, buying items made locally means we are getting 
something unique. eating at a locally owned restaurant means our neighbor 
planned the menu. you can't discount that one-of-a-kind feeling! which best 
shows that the author's purpose is to persuade readers to shop at local 
businesses?",0,39,0%,8.49
"what does the word volunteers refer to? these select an answer spend 
anywhere from a few days to a few months in a tilted bed.",0,39,0%,9
"which of the following answer options is an example of clarifying? select 
the best option. it sounds like you are excited about your new opportunity 
but also a bit nervous about being on your own for the first time. is that 
accurate? can you please explain what you meant by that statement? so, you 
said that alex ignores you, right? you mentioned a lot of issues and how 
they are impacting you. let me make sure i have them all.",0,39,0%,11.03
"group class news title imitation: inheriting youth strength and building 
team spirit dreams",0,38,0%,2.42
"why do many organizations encourage their employees to be lifelong 
learners? a. employees will be more able to handle increasing 
responsibilities b. employees will be more likely to follow company 
policies c. employees will be more likely to remain loyal to the company d. 
employees will be more likely to interact well with each other",0,38,0%,10.68
"""met my husband"" ""lobby"" ""microsoft""",0,37,0%,7
"citizens live in a community where basic needs (food, housing, healthcare) 
are guaranteed, education is valued, and decisions are made by transparent 
councils that include ordinary people. utopian dystopian both neither",0,37,0%,8.22
postsecondary success,0,37,0%,10.43
"""julian castro"" comedian award police society city",0,36,0%,5.92
"placing account holders into certain categories or groups isn't necessarily 
wrong. for example, we view the financial needs of _______________ 
differently from those of ________________. a. older people; younger people 
b. men; women c. both a and b.",0,36,0%,6.64
thomas sowell x post tiktok woman grateful abortions parents,0,36,0%,7.61
"why would someone join a craft guild? because they were given free lodging 
and were provided a months worth of food for their families. because they 
were given a large sum of money to begin a new trade and were not expected 
to pay it back. because they were the only ones allowed into all areas of 
the town without being charged a fee. because they and their families would 
be looked after and medical care was paid for.",0,36,0%,10.31
"a provider wishes to interject hopefulness into the services she provides. 
which would be the best option? help her clients identify their unique 
strengths. emphasize the counselor's role as the expert. avoid inspiring 
stories of individuals who have overcome challenges. limit self-care 
practices.",0,36,0%,11.33
"boston social service group took over philanthropic venture fresh produce 
flowers women's hospitals actress",0,35,0%,3.63
"to become a fully functioning adult, you should move developmentally from 
being dependent, to being independent, and then to being interdependent. a. 
true b. false",0,35,0%,4.77
"i don’t strictly follow party lines and prefer to evaluate issues and 
candidates individually. how does pierre omidyar ensure that the ai 
technologies he supports are ethically developed and used for the greater 
good?",0,35,0%,6.63
"which statement describes a common theory regarding the third-party 
candidacy of ross perot in the u.s. presidential election of 1992? a perot 
gained votes from traditionally republican voters, which enabled democrat 
bill clinton to win the electoral vote. b perot was unable to win votes 
because he was not listed as a candidate on all state ballots. c perot 
gained votes from traditionally democratic voters, which allowed republican 
george h. w. bush to win the popular vote. d perot was not a fair candidate 
because the process he used for his campaign was unconstitutional.",0,35,0%,7.31
